,Outcomes,Arm 1,Arm 2
0,intervention,olanzapine,haloperidol
1,responders according to the CGI Improvement item,Five of six,three of six

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,secretin,placebo
1,ADOS social-communication total score,-0.6 +/- 1.4,-0.8 +/- 2.9

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,placebo,risperidone
1,randomly assigned,52,49 children

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,placebo,risperidone
1,reduction in the Irritability score,14.1 percent,56.9 percent

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone,placebo
1,CGI-I scale,34 of 49,6 of 52

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,Risperidone,placebo
1,average weight gain,2.7+/-2.9 kg,0.8+/-2.2 kg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone-treated,placebo-treated
1,irritability score,64 %,31 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone-treated,placebo
1,global improvement in their condition,87 %,40 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone,placebo
1,Somnolence,72.5 %,7.7 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,fluvoxamine-treated,placebo
1,responders,( 53 % ) of 15 patients,none of 15

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,FM,CHVP patients
1,Median FFS,36 months,19 months

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,IT methotrexate group,triple IT therapy group
1,Processing Speed Index score in the below-average range,19.5 %,6.9 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,AMB,FLU
1,successfully completed prophylaxis,58 % of the 36 patients,80 % of the 41 patients

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,tamoxifen,placebo
1,fatal myocardial infarction,1.75 ( 0.44 to 8.13 ),
2,on,6074,6072
3,unstable angina,0.69 ( 0.29 to 1.57 ),
4,severe angina,0.83 ( 0.32 to 2.10 ),
5,risk ratios ( 95 % confidence intervals [ CIs ] ),1.75 ( 0.44 to 8.13 ),
6,nonfatal myocardial infarction,1.11 ( 0.55 to 2.28 ),

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,tamoxifen,placebo
1,fatal myocardial infarction,0.00 ( 0 to 1.58 ),
2,severe angina,1.39 ( 0.23 to 9.47 ),
3,on,516,532
4,nonfatal myocardial infarction,1.25 ( 0.32 to 5.18 ),
5,risk ratios ( 95 % CIs ),1.39 ( 0.23 to 9.47 ),
6,unstable angina,2.26 ( 0.87 to 6.55 ),

,Outcomes

,Outcomes,Arm 1
0,intervention,psychosocial therapy
1,Risk of cardiovascular death,86 %

,Outcomes

,Outcomes,Arm 2
0,intervention,control
1,cardiovascular deaths,Six of the seven

,Outcomes

,Outcomes,Arm 1
0,intervention,therapy group
1,risk of all-cause mortality,62 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,therapy group,control group
1,deaths,three,eight

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,losartan,captopril
1,target dose,50 mg,50 mg

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,losartan,captopril
1,deaths,499 ( 18 % ),447 ( 16 % )

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,losartan,captopril
1,cardiovascular deaths,"420 , 15 %","363 , 13 %"

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,losartan,captopril
1,fewer patients discontinuing medication,17,23 %

,Outcomes

,Outcomes,Arm 2
0,intervention,placebo
1,incidence of ICD therapies per patient-year,36

,Outcomes

,Outcomes,Arm 1
0,intervention,metoprolol CR/XL
1,deceleration time of the early mitral filling wave ( E ),189 to 246 ms
2,left ventricular ejection fraction,0.26 to 0.31
3,duration of the late mitral filling wave ( A ),122 to 145 ms
4,time velocity integral of E-wave,8.7 to 11.2 cm

,Outcomes

,Outcomes,Arm 2
0,intervention,placebo
1,changes,No

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,Bronchodilators,controls
1,reduced peripheral airways resistance,0.38,0.19

,Outcomes

,Outcomes,Arm 1
0,intervention,Magnesium
1,reduced the shivering threshold,36.3 [ SD 0.4 ] degrees C

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,HBI,usual care group
1,unplanned hospitalization,677,824

,Outcomes

,Outcomes

,Outcomes

,Outcomes,Arm 1
0,intervention,CCM
1,increased LV peak +dP/dt,10.1 +/- 1.5 %

,Outcomes

,Outcomes

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,SES,PES
1,rates of MACEs,5.9 % ( n = 5 ),9.5 % ( n = 8 )
2,definite stent thrombosis,1.2 % ( n = 1,3.6 % ( n = 3

,Outcomes

,Outcomes,Arm 1
0,intervention,prophylaxis study group
1,duplex scans,109

,Outcomes

,Outcomes,Arm 1
0,intervention,coumadin
1,excessive blood loss,5.7 %

,Outcomes

,Outcomes,Arm 1
0,intervention,nonrandomized group
1,clinically detectable proximal deep vein thrombosis,One of the 219 patients

,Outcomes

,Outcomes

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,transfusions,standard
1,randomly assigned,63,67

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,transfusion,standard-care
1,dropped out,Ten patients,
2,crossed over,,two patients

,Outcomes

,Outcomes,Arm 2,Arm 1
0,intervention,standard-care group,transfusion group
1,cerebral infarctions,10,
2,intracerebral hematoma,1,
3,infarction,,1

,Outcomes

,Outcomes

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,acarbose,placebo
1,responders,20/24 patients,10/19 patients

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,acarbose,placebo
1,mean daily insulin dose after 24 weeks of treatment,16.4 +/- 10.1 IU,22.4 +/- 12.2 IU

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,enalapril,placebo
1,metabolic effect of glibenclamide,229 +/- 173,137 +/- 44

,Outcomes

,Outcomes,Arm 1
0,intervention,enalapril
1,maximal metabolic effect of glibenclamide,5.2 +/- 1.9

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,enalapril,placebo
1,total metabolic effect of glibenclamide,1267 +/- 334,1286 +/- 249

,Outcomes

,Outcomes

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,intervention,control
1,BP,-4.2 mmHg ( 95 % CI -12.4 to 3.9 ),/-2.6 mmHg ( 95 % CI -8.4 to 3.3 )

,Outcomes

,Outcomes,Arm 1
0,intervention,GLN
1,in-hospital deaths,14

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,GLN,GLY placebo
1,Acute graft us host disease,1 of 10,3 of 8

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,20 mg,50-mg
1,investigator,40.5 %,36.4 %
2,independent review,42.9 %,27.3 %

,Outcomes

,Outcomes,Arm 1
0,intervention,20 mg
1,investigator,64.3 %
2,independent,59.5 %

,Outcomes

,Outcomes,Arm 1,Arm 2
0,intervention,20,50 mg
1,Mean observed steady-state plasma concentrations,3.62,7.48

,Outcomes

,Outcomes,Arm 1,Arm 2
