,Mean,Std
NER_P,0.7226245011491947,0.032840868084863334
NER_R,0.7103896103896103,0.03726465665222052
NER_F,0.7163210812311231,0.03370772407083288
REL_P,0.516,0.06947421584060282
REL_R,0.756,0.05521674464226309
REL_F,0.607,0.03198958163736022
JOINT_P,0.5660000000000001,0.06866990283636315
JOINT_R,0.675,0.04743416490252568
JOINT_F,0.614,0.042478752858863975
STRICT_P,0.4422397232397233,0.04565427174018908
STRICT_R,0.7183916900093371,0.05815761926640879
STRICT_F,0.5455290691535728,0.038764526510409715
RELAXED_P,0.6986025641025642,0.07612626147229339
RELAXED_R,0.800969006838572,0.039825272646303866
RELAXED_F,0.74343737494998,0.03857156951353206
