,Mean,Std
NER_P,0.8358164295430021,0.03914921254920184
NER_R,0.8560000000000001,0.02065591117977289
NER_F,0.845613009694491,0.029052188739672014
REL_P,0.865,0.031710495984067444
REL_R,0.9109999999999999,0.03725288952252936
REL_F,0.8869999999999999,0.009486832980505146
JOINT_P,0.7469999999999999,0.05034326612809746
JOINT_R,0.8119999999999999,0.02440400695696414
JOINT_F,0.7769999999999999,0.024966644414765364
STRICT_P,0.5208641889511455,0.07769120488656119
STRICT_R,0.870785121741004,0.059265823915981355
STRICT_F,0.6471148684434949,0.05697517090575046
RELAXED_P,0.775855888877628,0.0931647583891164
RELAXED_R,0.9086976911976914,0.04267108159173669
RELAXED_F,0.8328796381950868,0.04794703783191403
