,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.8533333333333334,0.8533333333333334,0.8533333333333335,0.85,0.92,0.88,0.77,0.81,0.79,0.6521739130434783,0.8333333333333334,0.7317073170731708,0.9130434782608695,0.875,0.8936170212765957
1,0.7682926829268293,0.84,0.8025477707006369,0.84,0.96,0.9,0.67,0.85,0.75,0.4074074074074074,0.9166666666666666,0.5641025641025641,0.6296296296296297,0.9444444444444444,0.7555555555555556
2,0.8533333333333334,0.8533333333333334,0.8533333333333335,0.86,0.93,0.89,0.77,0.83,0.8,0.5454545454545454,0.75,0.631578947368421,0.9090909090909091,0.8333333333333334,0.8695652173913043
3,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.89,0.86,0.87,0.8,0.8,0.8,0.6,0.8823529411764706,0.7142857142857143,0.72,0.9,0.7999999999999999
4,0.8076923076923077,0.84,0.8235294117647058,0.83,0.94,0.88,0.7,0.83,0.76,0.4230769230769231,0.8461538461538461,0.5641025641025641,0.7692307692307693,0.9090909090909091,0.8333333333333333
5,0.8552631578947368,0.8666666666666667,0.8609271523178809,0.86,0.92,0.89,0.78,0.82,0.8,0.5357142857142857,0.9375,0.6818181818181818,0.75,0.9545454545454546,0.84
6,0.8076923076923077,0.84,0.8235294117647058,0.88,0.92,0.9,0.72,0.79,0.75,0.48148148148148145,0.8666666666666667,0.6190476190476191,0.6666666666666666,0.9,0.7659574468085106
7,0.8648648648648649,0.8533333333333334,0.8590604026845637,0.91,0.86,0.89,0.83,0.79,0.81,0.5,0.9285714285714286,0.65,0.7692307692307693,0.9523809523809523,0.8510638297872339
8,0.8333333333333334,0.8666666666666667,0.8496732026143791,0.91,0.86,0.89,0.72,0.77,0.75,0.5833333333333334,0.8235294117647058,0.6829268292682927,0.7916666666666666,0.8636363636363636,0.8260869565217391
9,0.8076923076923077,0.84,0.8235294117647058,0.82,0.94,0.88,0.71,0.83,0.76,0.48,0.9230769230769231,0.631578947368421,0.84,0.9545454545454546,0.8936170212765958
