,Mean,Std
NER_P,0.8104209443556837,0.028237695375902105
NER_R,0.7678571428571429,0.03284314555009296
NER_F,0.7883968708166275,0.02819887225939362
REL_P,0.792,0.04613988392799541
REL_R,0.724,0.0683455273672763
REL_F,0.755,0.02838231060987736
JOINT_P,0.6439999999999999,0.04087922591134903
JOINT_R,0.623,0.045472824607426576
JOINT_F,0.631,0.022827858224351932
STRICT_P,0.4132698183875096,0.04843318508163114
STRICT_R,0.5921078431372548,0.054192657171464785
STRICT_F,0.48474343435736617,0.04137223194932033
RELAXED_P,0.6654060149412474,0.07223081730621243
RELAXED_R,0.6996892994284298,0.04927248987139164
RELAXED_F,0.6798544223212132,0.04825913232299108
