,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.7721518987341772,0.7261904761904762,0.7484662576687117,0.79,0.74,0.76,0.64,0.59,0.62,0.47619047619047616,0.5,0.4878048780487805,0.6666666666666666,0.5833333333333334,0.6222222222222222
1,0.8048780487804879,0.7857142857142857,0.7951807228915663,0.72,0.8,0.76,0.62,0.67,0.64,0.3333333333333333,0.6,0.42857142857142855,0.5555555555555556,0.7142857142857143,0.6250000000000001
2,0.8533333333333334,0.7619047619047619,0.8050314465408804,0.73,0.8,0.76,0.61,0.66,0.64,0.44,0.6111111111111112,0.5116279069767442,0.76,0.7307692307692307,0.7450980392156863
3,0.7721518987341772,0.7261904761904762,0.7484662576687117,0.78,0.67,0.72,0.6,0.57,0.58,0.36,0.5625,0.43902439024390244,0.64,0.6956521739130435,0.6666666666666666
4,0.825,0.7857142857142857,0.8048780487804876,0.8,0.75,0.78,0.62,0.6,0.61,0.375,0.5625,0.45,0.6666666666666666,0.6956521739130435,0.6808510638297872
5,0.8433734939759037,0.8333333333333334,0.8383233532934132,0.87,0.7,0.78,0.69,0.63,0.66,0.41379310344827586,0.6666666666666666,0.5106382978723404,0.6206896551724138,0.75,0.679245283018868
6,0.7926829268292683,0.7738095238095238,0.783132530120482,0.79,0.78,0.79,0.61,0.7,0.65,0.48,0.6666666666666666,0.5581395348837209,0.6,0.7142857142857143,0.6521739130434783
7,0.8354430379746836,0.7857142857142857,0.8098159509202455,0.78,0.76,0.77,0.64,0.65,0.64,0.4230769230769231,0.6111111111111112,0.5,0.6923076923076923,0.72,0.7058823529411765
8,0.8,0.7619047619047619,0.7804878048780488,0.85,0.62,0.72,0.71,0.59,0.64,0.44,0.6111111111111112,0.5116279069767442,0.8,0.7407407407407407,0.7692307692307692
9,0.8051948051948052,0.7380952380952381,0.7701863354037267,0.81,0.62,0.71,0.7,0.57,0.63,0.391304347826087,0.5294117647058824,0.45,0.6521739130434783,0.6521739130434783,0.6521739130434783
