,Mean,Std
NER_P,0.5999608767350865,0.03870274766129663
NER_R,0.6491803278688525,0.030067061518551444
NER_F,0.6232009362290437,0.031057779097249077
REL_P,0.7989999999999999,0.024698178070456923
REL_R,0.756,0.07471427053931678
REL_F,0.7729999999999999,0.03529242915351047
JOINT_P,0.5129999999999999,0.039454615277134134
JOINT_R,0.645,0.02838231060987736
JOINT_F,0.5700000000000001,0.01943650631615097
STRICT_P,0.3049397570476002,0.03213081703172048
STRICT_R,0.5611232278592576,0.05076073629178957
STRICT_F,0.39415572182504566,0.03418068598706633
RELAXED_P,0.5897418216096376,0.0650240566747554
RELAXED_R,0.7111177417456969,0.035465766871770193
RELAXED_F,0.6428427062223144,0.043875081881538006
