,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.6458333333333334,0.6352459016393442,0.640495867768595,0.81,0.74,0.78,0.57,0.63,0.6,0.2976190476190476,0.5681818181818182,0.39062500000000006,0.6309523809523809,0.7361111111111112,0.6794871794871795
1,0.5687732342007435,0.6270491803278688,0.5964912280701754,0.79,0.84,0.81,0.47,0.64,0.54,0.26136363636363635,0.6052631578947368,0.36507936507936506,0.5568181818181818,0.765625,0.6447368421052632
2,0.5632183908045977,0.6024590163934426,0.5821782178217821,0.82,0.79,0.8,0.5,0.64,0.56,0.3333333333333333,0.5192307692307693,0.40601503759398494,0.5802469135802469,0.6527777777777778,0.6143790849673203
3,0.5946969696969697,0.6434426229508197,0.6181102362204725,0.77,0.77,0.77,0.5,0.62,0.56,0.2716049382716049,0.4888888888888889,0.34920634920634924,0.6296296296296297,0.6891891891891891,0.6580645161290323
4,0.6086956521739131,0.6885245901639344,0.6461538461538463,0.8,0.77,0.78,0.49,0.67,0.56,0.3333333333333333,0.5686274509803921,0.4202898550724638,0.5862068965517241,0.6986301369863014,0.6375
5,0.5512367491166078,0.639344262295082,0.5920303605313094,0.81,0.74,0.77,0.5,0.66,0.57,0.2840909090909091,0.5681818181818182,0.3787878787878789,0.48863636363636365,0.6935483870967742,0.5733333333333334
6,0.5563380281690141,0.6475409836065574,0.5984848484848485,0.77,0.78,0.77,0.47,0.68,0.55,0.28888888888888886,0.5777777777777777,0.38518518518518513,0.4888888888888889,0.6984126984126984,0.5751633986928104
7,0.6553030303030303,0.7090163934426229,0.6811023622047243,0.78,0.77,0.78,0.52,0.68,0.59,0.3522727272727273,0.6326530612244898,0.45255474452554745,0.6477272727272727,0.76,0.6993865030674846
8,0.6334661354581673,0.6516393442622951,0.6424242424242425,0.85,0.56,0.68,0.59,0.59,0.59,0.2857142857142857,0.4782608695652174,0.35772357723577236,0.6883116883116883,0.6883116883116883,0.6883116883116883
9,0.6220472440944882,0.6475409836065574,0.6345381526104418,0.79,0.8,0.79,0.52,0.64,0.58,0.3411764705882353,0.6041666666666666,0.43609022556390975,0.6,0.7285714285714285,0.6580645161290323
