,Mean,Std
NER_P,0.7368030706397255,0.03993000447380176
NER_R,0.7774590163934426,0.026704068771641425
NER_F,0.7562164105792835,0.02921514257450812
REL_P,0.806,0.02458545188611435
REL_R,0.868,0.032249030993194205
REL_F,0.835,0.017159383568311683
JOINT_P,0.6220000000000001,0.026583202716502538
JOINT_R,0.7529999999999999,0.04295992965026313
JOINT_F,0.6809999999999999,0.02233582075700125
STRICT_P,0.42957501789361735,0.057735755893980494
STRICT_R,0.7749243388786222,0.04509730144873374
STRICT_F,0.5499568240766848,0.04858807797780276
RELAXED_P,0.6962796863581086,0.05875314508622046
RELAXED_R,0.847742167675565,0.03597566698211951
RELAXED_F,0.7627458916296399,0.0330860313311848
