,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.7348484848484849,0.7950819672131147,0.7637795275590552,0.8,0.9,0.85,0.61,0.77,0.68,0.40217391304347827,0.74,0.5211267605633803,0.6739130434782609,0.8266666666666667,0.7425149700598803
1,0.7251908396946565,0.7786885245901639,0.7509881422924901,0.77,0.87,0.82,0.6,0.76,0.67,0.336734693877551,0.7857142857142857,0.4714285714285715,0.6224489795918368,0.8714285714285714,0.7261904761904762
2,0.6807692307692308,0.7254098360655737,0.7023809523809523,0.79,0.85,0.82,0.59,0.72,0.65,0.44047619047619047,0.6851851851851852,0.536231884057971,0.7023809523809523,0.7763157894736842,0.7374999999999999
3,0.7942386831275721,0.7909836065573771,0.7926078028747434,0.78,0.87,0.82,0.64,0.73,0.68,0.3473684210526316,0.8048780487804879,0.4852941176470588,0.6736842105263158,0.8888888888888888,0.7664670658682634
4,0.7557251908396947,0.8114754098360656,0.782608695652174,0.81,0.93,0.87,0.63,0.83,0.72,0.5,0.8035714285714286,0.6164383561643836,0.7888888888888889,0.8658536585365854,0.8255813953488372
5,0.7027027027027027,0.7459016393442623,0.7236580516898609,0.84,0.81,0.82,0.6,0.71,0.65,0.42857142857142855,0.7959183673469388,0.557142857142857,0.6813186813186813,0.8611111111111112,0.7607361963190185
6,0.7153846153846154,0.7622950819672131,0.738095238095238,0.81,0.85,0.83,0.62,0.74,0.68,0.43617021276595747,0.8367346938775511,0.5734265734265734,0.6914893617021277,0.8904109589041096,0.7784431137724552
7,0.8068669527896996,0.7704918032786885,0.7882599580712787,0.8,0.87,0.83,0.68,0.69,0.68,0.5,0.7241379310344828,0.591549295774648,0.8095238095238095,0.8095238095238095,0.8095238095238095
8,0.708029197080292,0.7950819672131147,0.749034749034749,0.85,0.85,0.85,0.61,0.79,0.69,0.4148936170212766,0.78,0.5416666666666666,0.648936170212766,0.8472222222222222,0.7349397590361446
9,0.7442748091603053,0.7991803278688525,0.7707509881422925,0.81,0.88,0.84,0.64,0.79,0.71,0.48936170212765956,0.7931034482758621,0.6052631578947368,0.6702127659574468,0.84,0.7455621301775148
