,Mean,Std
NER_P,0.7763217700678375,0.02706137961069267
NER_R,0.7991803278688525,0.014457657437511408
NER_F,0.7874131117325305,0.018396963907917004
REL_P,0.8160000000000001,0.02065591117977286
REL_R,0.8789999999999999,0.027668674625929538
REL_F,0.8459999999999999,0.015055453054181633
JOINT_P,0.667,0.03713339317768964
JOINT_R,0.758,0.01619327706865484
JOINT_F,0.7070000000000001,0.01888562063228705
STRICT_P,0.4529166174129234,0.03217338707487957
STRICT_R,0.8047627671687823,0.03146472418563718
STRICT_F,0.5788857247965442,0.028278832256915014
RELAXED_P,0.705206499920673,0.052407412947307025
RELAXED_R,0.8643301544902109,0.028777142166148625
RELAXED_F,0.7759862109516122,0.03915531458056491
