,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.7211895910780669,0.7950819672131147,0.7563352826510721,0.8,0.87,0.83,0.61,0.76,0.67,0.4166666666666667,0.8163265306122449,0.5517241379310345,0.625,0.8695652173913043,0.7272727272727273
1,0.7777777777777778,0.8032786885245902,0.7903225806451613,0.82,0.87,0.84,0.69,0.77,0.72,0.43157894736842106,0.8367346938775511,0.5694444444444445,0.7157894736842105,0.8947368421052632,0.7953216374269005
2,0.8099173553719008,0.8032786885245902,0.8065843621399177,0.85,0.84,0.85,0.73,0.74,0.73,0.4787234042553192,0.8333333333333334,0.6081081081081082,0.7553191489361702,0.8875,0.8160919540229885
3,0.7549407114624506,0.7827868852459017,0.7686116700201207,0.8,0.93,0.86,0.63,0.77,0.69,0.46153846153846156,0.75,0.5714285714285714,0.6263736263736264,0.8028169014084507,0.7037037037037038
4,0.7558139534883721,0.7991803278688525,0.7768924302788845,0.83,0.87,0.85,0.66,0.76,0.7,0.45054945054945056,0.7884615384615384,0.5734265734265734,0.7802197802197802,0.8658536585365854,0.8208092485549133
5,0.7836734693877551,0.7868852459016393,0.7852760736196318,0.81,0.88,0.84,0.64,0.74,0.69,0.4166666666666667,0.8,0.547945205479452,0.6979166666666666,0.8701298701298701,0.7745664739884393
6,0.7764227642276422,0.7827868852459017,0.7795918367346939,0.8,0.88,0.84,0.68,0.76,0.72,0.45263157894736844,0.7962962962962963,0.5771812080536912,0.6842105263157895,0.8552631578947368,0.760233918128655
7,0.7768924302788844,0.7991803278688525,0.7878787878787878,0.85,0.88,0.87,0.69,0.75,0.72,0.5053763440860215,0.8545454545454545,0.6351351351351351,0.7526881720430108,0.8974358974358975,0.8187134502923976
8,0.8073770491803278,0.8073770491803278,0.8073770491803277,0.8,0.85,0.82,0.7,0.74,0.72,0.42105263157894735,0.8,0.5517241379310345,0.6842105263157895,0.8666666666666667,0.7647058823529413
9,0.7992125984251969,0.8319672131147541,0.8152610441767068,0.8,0.92,0.86,0.64,0.79,0.71,0.4943820224719101,0.7719298245614035,0.6027397260273972,0.7303370786516854,0.8333333333333334,0.7784431137724552
