,A1_RES_P,A1_RES_R,A1_RES_F,A2_RES_P,A2_RES_R,A2_RES_F,OC_RES_P,OC_RES_R,OC_RES_F
0,0.86,0.96,0.9,0.88,0.96,0.92,0.71,0.75,0.73
1,0.86,0.96,0.91,0.89,0.97,0.93,0.78,0.7,0.74
2,0.86,0.91,0.88,0.81,0.98,0.88,0.67,0.83,0.74
3,0.88,0.9,0.89,0.84,0.96,0.89,0.68,0.79,0.73
4,0.88,0.94,0.91,0.89,0.95,0.92,0.68,0.79,0.73
5,0.92,0.91,0.92,0.88,0.94,0.91,0.69,0.81,0.74
6,0.85,0.94,0.89,0.86,0.95,0.9,0.74,0.7,0.72
7,0.87,0.87,0.87,0.79,0.95,0.86,0.81,0.64,0.71
8,0.9,0.9,0.9,0.84,0.98,0.91,0.8,0.65,0.72
9,0.85,0.92,0.88,0.89,0.93,0.91,0.67,0.83,0.74
