,Mean,Std
NER_P,0.8608455342934601,0.010754175328951718
NER_R,0.8664345403899721,0.011880693615554152
NER_F,0.8636018719052027,0.010032270447501247
REL_P,0.7809999999999999,0.03573047252229762
REL_R,0.8299999999999998,0.041096093353126494
REL_F,0.8039999999999999,0.008432740427115662
JOINT_P,0.6969999999999998,0.03560586718193754
JOINT_R,0.7790000000000001,0.0288482620312251
JOINT_F,0.735,0.011785113019775802
STRICT_P,0.5649828780996474,0.022566168962089832
STRICT_R,0.823865872468625,0.02191180420091846
STRICT_F,0.6699738473324086,0.017731471631705777
RELAXED_P,0.7586494308152804,0.020041126233243212
RELAXED_R,0.8625285640375406,0.01877954038888624
RELAXED_F,0.8070886627821304,0.015378932368509396
