,A1_RES_P,A1_RES_R,A1_RES_F,A2_RES_P,A2_RES_R,A2_RES_F,OC_RES_P,OC_RES_R,OC_RES_F
0,0.9,0.9,0.9,0.87,0.94,0.9,0.65,0.83,0.73
1,0.82,0.9,0.86,0.85,0.89,0.87,0.78,0.66,0.71
2,0.9,0.85,0.87,0.89,0.86,0.88,0.69,0.78,0.73
3,0.85,0.89,0.87,0.81,0.96,0.88,0.68,0.76,0.72
4,0.85,0.86,0.86,0.88,0.9,0.89,0.64,0.83,0.72
5,0.88,0.85,0.87,0.85,0.91,0.88,0.68,0.77,0.72
6,0.88,0.85,0.87,0.87,0.92,0.89,0.66,0.8,0.72
7,0.94,0.82,0.87,0.9,0.92,0.91,0.73,0.72,0.73
8,0.91,0.82,0.86,0.86,0.89,0.88,0.76,0.66,0.71
9,0.86,0.89,0.88,0.83,0.9,0.86,0.72,0.7,0.71
