,Mean,Std
NER_P,0.8579862934440883,0.014526373692738632
NER_R,0.8534818941504179,0.011630429912810946
NER_F,0.8557060919648676,0.012322796352706514
REL_P,0.7700000000000001,0.03333333333333335
REL_R,0.807,0.04110960958218892
REL_F,0.7870000000000001,0.008232726023485654
JOINT_P,0.698,0.035213633723318
JOINT_R,0.76,0.032659863237109066
JOINT_F,0.725,0.009718253158075509
STRICT_P,0.5156401553377097,0.026271731298885534
STRICT_R,0.8019519190316166,0.023693635663627047
STRICT_F,0.6271121578407668,0.019530114544819992
RELAXED_P,0.7184070117458405,0.03953404547842648
RELAXED_R,0.849392021409848,0.01753037582014964
RELAXED_F,0.7776504178919705,0.021820924128412914
