,A1_RES_P,A1_RES_R,A1_RES_F,A2_RES_P,A2_RES_R,A2_RES_F,OC_RES_P,OC_RES_R,OC_RES_F
0,0.91,0.83,0.87,0.75,0.91,0.83,0.73,0.76,0.74
1,0.79,0.92,0.85,0.83,0.95,0.89,0.7,0.78,0.74
2,0.86,0.91,0.88,0.83,0.95,0.89,0.78,0.71,0.74
3,0.88,0.84,0.86,0.85,0.89,0.87,0.7,0.7,0.7
4,0.9,0.87,0.88,0.8,0.92,0.86,0.77,0.7,0.73
5,0.81,0.85,0.83,0.87,0.89,0.88,0.68,0.8,0.73
6,0.87,0.9,0.88,0.91,0.85,0.88,0.7,0.73,0.71
7,0.87,0.84,0.85,0.78,0.95,0.86,0.76,0.73,0.75
8,0.88,0.87,0.87,0.92,0.88,0.9,0.73,0.63,0.68
9,0.85,0.9,0.87,0.84,0.93,0.88,0.72,0.7,0.71
