,Mean,Std
NER_P,0.8490988766896302,0.009286198059585705
NER_R,0.8554317548746517,0.012710688920072507
NER_F,0.8522074436671963,0.008911158320015261
REL_P,0.78,0.024944382578492966
REL_R,0.795,0.028771127502720106
REL_F,0.787,0.012516655570345736
JOINT_P,0.6920000000000001,0.02299758441421375
JOINT_R,0.751,0.021317702607092662
JOINT_F,0.718,0.015491933384829681
STRICT_P,0.525032451905734,0.024914812269576175
STRICT_R,0.7935223883117393,0.025445650855974736
STRICT_F,0.6313789518864434,0.017184887824222526
RELAXED_P,0.7227847209280115,0.030318646725755016
RELAXED_R,0.840986930835054,0.020181499139997224
RELAXED_F,0.7768394678082917,0.015469950260333126
