,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.8575342465753425,0.871866295264624,0.8646408839779006,0.77,0.81,0.79,0.7,0.78,0.74,0.5020242914979757,0.8,0.6169154228855721,0.6963562753036437,0.8472906403940886,0.7644444444444445
1,0.8429752066115702,0.8523676880222841,0.8476454293628809,0.75,0.84,0.79,0.67,0.78,0.72,0.5523012552301255,0.8148148148148148,0.6583541147132169,0.7573221757322176,0.8578199052132701,0.8044444444444445
2,0.8502824858757062,0.8384401114206128,0.844319775596073,0.81,0.8,0.81,0.73,0.75,0.74,0.5263157894736842,0.8227848101265823,0.6419753086419753,0.7246963562753036,0.8647342995169082,0.7885462555066078
3,0.8664772727272727,0.8495821727019499,0.8579465541490858,0.77,0.77,0.77,0.71,0.72,0.71,0.5443037974683544,0.7865853658536586,0.6433915211970075,0.7383966244725738,0.8333333333333334,0.7829977628635346
4,0.8478260869565217,0.8690807799442897,0.8583218707015131,0.81,0.78,0.79,0.7,0.75,0.73,0.5271966527196653,0.782608695652174,0.63,0.7322175732217573,0.8333333333333334,0.779510022271715
5,0.8413793103448276,0.8495821727019499,0.8454608454608455,0.74,0.83,0.78,0.67,0.77,0.71,0.5061224489795918,0.8051948051948052,0.6215538847117794,0.6693877551020408,0.845360824742268,0.7471526195899773
6,0.8328729281767956,0.8398328690807799,0.8363384188626907,0.78,0.79,0.79,0.66,0.73,0.69,0.5148936170212766,0.7610062893081762,0.6142131979695431,0.7319148936170212,0.819047619047619,0.7730337078651686
7,0.8529411764705882,0.8481894150417827,0.850558659217877,0.79,0.8,0.8,0.71,0.74,0.72,0.49583333333333335,0.7777777777777778,0.6055979643765903,0.7166666666666667,0.8349514563106796,0.7713004484304932
8,0.8528610354223434,0.871866295264624,0.8622589531680442,0.81,0.74,0.77,0.7,0.73,0.71,0.5733333333333334,0.7543859649122807,0.6515151515151515,0.7688888888888888,0.8046511627906977,0.7863636363636364
9,0.8458390177353342,0.8635097493036211,0.8545830461750517,0.77,0.79,0.78,0.67,0.76,0.71,0.508,0.8300653594771242,0.630272952853598,0.692,0.8693467336683417,0.7706013363028954
