,NER_P,NER_R,NER_F,REL_P,REL_R,REL_F,JOINT_P,JOINT_R,JOINT_F,STRICT_P,STRICT_R,STRICT_F,RELAXED_P,RELAXED_R,RELAXED_F
0,0.842031029619182,0.8314763231197771,0.8367203924316748,0.75,0.85,0.8,0.66,0.76,0.71,0.510548523206751,0.7806451612903226,0.6173469387755103,0.7383966244725738,0.8373205741626795,0.7847533632286996
1,0.859504132231405,0.8690807799442897,0.8642659279778393,0.78,0.79,0.78,0.69,0.76,0.72,0.5416666666666666,0.8074534161490683,0.6483790523690773,0.75,0.8530805687203792,0.7982261640798227
2,0.8419580419580419,0.8384401114206128,0.840195394277739,0.75,0.84,0.79,0.67,0.78,0.72,0.5308641975308642,0.832258064516129,0.6482412060301509,0.7613168724279835,0.8767772511848341,0.814977973568282
3,0.849862258953168,0.8593314763231198,0.8545706371191136,0.82,0.79,0.8,0.72,0.75,0.73,0.5646551724137931,0.793939393939394,0.6599496221662469,0.7974137931034483,0.8447488584474886,0.8203991130820399
4,0.8365384615384616,0.8481894150417827,0.8423236514522822,0.83,0.73,0.78,0.72,0.72,0.72,0.5497835497835498,0.774390243902439,0.6430379746835443,0.8095238095238095,0.8348214285714286,0.8219780219780219
5,0.8385772913816689,0.8537604456824512,0.8461007591442374,0.76,0.84,0.8,0.68,0.78,0.73,0.5265306122448979,0.832258064516129,0.645,0.746938775510204,0.8755980861244019,0.8061674008810571
6,0.8314763231197771,0.8314763231197771,0.8314763231197771,0.75,0.82,0.78,0.67,0.76,0.71,0.5269709543568465,0.8089171974522293,0.6381909547738694,0.7344398340248963,0.855072463768116,0.7901785714285715
7,0.8180592991913747,0.8454038997214485,0.8315068493150685,0.74,0.81,0.77,0.65,0.76,0.7,0.5020408163265306,0.8092105263157895,0.6196473551637279,0.726530612244898,0.8599033816425121,0.7876106194690266
8,0.825,0.8272980501392758,0.8261474269819192,0.78,0.81,0.8,0.69,0.75,0.72,0.5236051502145923,0.7625,0.6208651399491094,0.7510729613733905,0.8215962441314554,0.7847533632286995
9,0.8543689320388349,0.8579387186629527,0.8561501042390548,0.82,0.79,0.81,0.71,0.76,0.73,0.5588235294117647,0.806060606060606,0.6600496277915633,0.7521008403361344,0.8483412322274881,0.7973273942093542
