,Mean,Std
NER_P,0.8462706736315232,0.015407710793505764
NER_R,0.8518105849582172,0.018066523966504933
NER_F,0.8489488823454554,0.014312650959123152
REL_P,0.7630000000000001,0.030203016773531478
REL_R,0.841,0.030713731999438495
REL_F,0.7990000000000002,0.011005049346146129
JOINT_P,0.683,0.026267851073127367
JOINT_R,0.775,0.0340750805004348
JOINT_F,0.7239999999999999,0.009660917830792967
STRICT_P,0.5323295234096721,0.025305339899262688
STRICT_R,0.8153475829163531,0.032481521789448346
STRICT_F,0.6433571955296509,0.01689168015864825
RELAXED_P,0.7476270126825705,0.03515382265938131
RELAXED_R,0.8609190049424875,0.025796239145345456
RELAXED_F,0.7995000994342236,0.01822429781957908
