,Outcomes,Arm 1,Arm 2
0,intervention,olanzapine,haloperidol
1,Five of six,CGI Improvement item,CGI Improvement item
2,three of six,CGI Improvement item,CGI Improvement item
3,haloperidol,Five of six,
4,responders,CGI Improvement item,CGI Improvement item
5,CGI Improvement item,responders,responders

,Outcomes,Arm 1,Arm 2
0,intervention,secretin,placebo
1,change of ADOS social-communication total score,secretin,secretin
2,no,0.346,0.346
3,-0.8 +/- 2.9,0.346,0.346
4,-0.6 +/- 1.4,0.346,0.346
5,0.346,-0.6 +/- 1.4,-0.6 +/- 1.4

,Outcomes,Arm 1,Arm 2
0,intervention,49 children,placebo
1,101,randomly assigned,randomly assigned
2,82,randomly assigned,randomly assigned
3,19,randomly assigned,randomly assigned
4,8.8+/-2.7,randomly assigned,randomly assigned
5,randomly assigned,placebo,placebo
6,49 children,randomly assigned,52
7,52,8.8+/-2.7,8.8+/-2.7

,Outcomes,Arm 1,Arm 2
0,intervention,0.5 to 3.5 mg,placebo
1,0.5 to 3.5 mg,14.1 percent,
2,56.9 percent,14.1 percent,Irritability score
3,reduction in the,placebo,placebo
4,Irritability score,placebo,placebo
5,14.1 percent,Irritability score,Irritability score

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone,placebo
1,rate of a positive response,52,52
2,at least a 25 percent decrease in the Irritability score,52,52
3,rating of much improved or very much improved on the CGI-I,52,52
4,69 percent,52,52
5,34 of 49,52,52
6,positive response,52,52
7,12 percent,52,52
8,placebo,69 percent,
9,6 of,52,52
10,52,6 of,6 of

,Outcomes,Arm 1,Arm 2
0,intervention,Risperidone,placebo
1,weight gain,placebo,placebo
2,2.7+/-2.9 kg,weight gain,0.8+/-2.2 kg
3,0.8+/-2.2 kg,weight gain,weight gain

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone,placebo
1,64 %,31 %,placebo
2,improvement over baseline in the irritability score,placebo,placebo
3,31 %,improvement over baseline in the irritability score,improvement over baseline in the irritability score

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone,placebo
1,87 %,global improvement in their condition,40 %
2,global improvement in their condition,placebo,placebo
3,40 %,global improvement in their condition,global improvement in their condition

,Outcomes,Arm 1,Arm 2
0,intervention,risperidone,7.7 %
1,Somnolence,manageable,manageable
2,72.5 %,manageable,manageable
3,7.7 %,manageable,manageable
4,manageable,placebo,placebo

,Outcomes,Arm 1,Arm 2
0,intervention,-treated group,placebo
1,Eight ( 53 % ) of 15 patients,none of 15,responders
2,responders,placebo,placebo
3,none of 15,responders,responders

,Outcomes,Arm 1,Arm 2
0,intervention,FM,early CR
1,Median FFS,53 months,53 months
2,36 months,53 months,53 months
3,19 months,53 months,53 months
4,53 months,19 months,19 months

,Outcomes,Arm 1,Arm 2
0,intervention,IT methotrexate,triple IT therapy
1,19.5 %,Processing Speed Index score,6.9 %
2,Processing Speed Index score,triple IT therapy,triple IT therapy
3,6.9 %,Processing Speed Index score,Processing Speed Index score

,Outcomes,Arm 1,Arm 2
0,intervention,AMB,41
1,58 %,0.05,0.05
2,36,41,80 %
3,completed prophylaxis,0.05,0.05
4,80 %,0.05,0.05
5,41,completed prophylaxis,completed prophylaxis
6,FLU,58 %,
7,0.05,41,80 %

,Outcomes,Arm 1,Arm 2
0,intervention,tamoxifen,placebo
1,6074,severe angina,severe angina
2,tamoxifen,severe angina,severe angina
3,6072,severe angina,severe angina
4,placebo,1.75 ( 0.44 to 8.13 ),
5,95 %,severe angina,severe angina
6,1.75 ( 0.44 to 8.13 ),severe angina,severe angina
7,fatal myocardial infarction,severe angina,severe angina
8,1.11 ( 0.55 to 2.28 ),severe angina,severe angina
9,nonfatal myocardial infarction,severe angina,severe angina
10,0.69 ( 0.29 to 1.57 ),severe angina,severe angina
11,unstable angina,severe angina,severe angina
12,0.83 ( 0.32 to 2.10 ),severe angina,severe angina
13,severe angina,0.83 ( 0.32 to 2.10 ),0.83 ( 0.32 to 2.10 )

,Outcomes,Arm 1,Arm 2
0,intervention,tamoxifen,placebo
1,CHD,severe angina,severe angina
2,516,severe angina,severe angina
3,532,severe angina,severe angina
4,placebo,1.25 ( 0.32 to 5.18 ),
5,risk ratios,severe angina,severe angina
6,95 %,severe angina,severe angina
7,0.00 ( 0 to 1.58 ),severe angina,severe angina
8,fatal myocardial infarction,severe angina,severe angina
9,1.25 ( 0.32 to 5.18 ),severe angina,severe angina
10,nonfatal myocardial infarction,severe angina,severe angina
11,2.26 ( 0.87 to 6.55 ),severe angina,severe angina
12,unstable angina,severe angina,severe angina
13,1.39 ( 0.23 to 9.47 ),severe angina,severe angina
14,severe angina,1.39 ( 0.23 to 9.47 ),1.39 ( 0.23 to 9.47 )

,Outcomes,Arm 1
0,intervention,psychosocial therapy
1,Risk of cardiovascular death,psychosocial therapy
2,86 %,Risk of cardiovascular death

,Outcomes,Arm 2,Arm 1
0,intervention,control,ventricular arrhythmias
1,Six,ventricular arrhythmias,cardiovascular deaths
2,seven,ventricular arrhythmias,cardiovascular deaths
3,cardiovascular deaths,ventricular arrhythmias,control

,Outcomes,Arm 1
0,intervention,therapy group
1,risk of all-cause mortality,therapy group
2,62 %,risk of all-cause mortality

,Outcomes,Arm 1,Arm 2
0,intervention,therapy group,eight
1,three,deaths,deaths
2,deaths,control group,control group
3,eight,deaths,deaths

,Outcomes,Arm 2,Arm 1
0,intervention,losartan,50 mg
1,50 mg,50 mg,
2,captopril,,50 mg
3,tolerated,50 mg,50 mg

,Outcomes,Arm 1,Arm 2
0,intervention,all-cause mortality,447 ( 16 % )
1,primary end point,captopril,captopril
2,all-cause mortality,deaths,deaths
3,499 ( 18 % ),deaths,deaths
4,447 ( 16 % ),deaths,deaths
5,deaths,captopril,captopril
6,captopril,499 ( 18 % ),

,Outcomes,Arm 1,Arm 2
0,intervention,losartan,captopril
1,cardiovascular deaths,captopril,captopril
2,"420 , 15 %",cardiovascular deaths,"363 , 13 %"
3,"363 , 13 %",cardiovascular deaths,cardiovascular deaths

,Outcomes,Arm 1,Arm 2
0,intervention,Losartan,captopril
1,Losartan,captopril,captopril
2,tolerated,captopril,captopril
3,captopril,17,fewer patients discontinuing
4,fewer patients discontinuing,captopril,captopril
5,17,23 %,23 %
6,23 %,losartan,losartan

,Outcomes,Arm 1,Arm 2
0,intervention,35 mg,125 mg
1,incidence of ICD therapies per patient-year,0.31,0.31
2,36,0.31,0.31
3,10,0.31,0.31
4,12,0.31,0.31
5,9,0.31,0.31
6,35 mg,,125 mg
7,75 mg,0.31,0.31
8,125 mg,0.31,0.31
9,0.31,12,9

,Outcomes,Arm 1
0,intervention,metoprolol CR/XL
1,left ventricular ejection fraction,122 to 145 ms
2,0.26 to 0.31,duration of the late mitral filling wave ( A )
3,deceleration time of the early mitral filling wave ( E ),122 to 145 ms
4,189 to 246 ms,122 to 145 ms
5,time velocity integral of E-wave,122 to 145 ms
6,8.7 to 11.2 cm,122 to 145 ms
7,duration of the late mitral filling wave ( A ),122 to 145 ms
8,122 to 145 ms,duration of the late mitral filling wave ( A )

,Outcomes,Arm 2
0,intervention,placebo
1,No,changes

,Outcomes,Arm 1,Arm 2
0,intervention,Bronchodilators,0.21
1,reduced peripheral airways resistance,increased measures of compliance,increased measures of compliance
2,0.53,increased measures of compliance,increased measures of compliance
3,0.38,increased measures of compliance,increased measures of compliance
